Date,Location,CompBenchmark,CompYoYChange,SFDetachBenchmark,SFDetachYoYChange,ApartBenchmark,ApartYoYChange
2018-10-01,Toronto C03,1563800.0,8.87,1712200.0,8.57,877100.0,9.01
2018-11-01,Toronto C03,1565300.0,7.3,1699900.0,5.37,889900.0,11.07
2018-12-01,Toronto C03,1530300.0,4.91,1671600.0,4.02,856400.0,5.61
2019-01-01,Toronto C03,1500600.0,3.01,1631700.0,2.47,842600.0,1.93
2019-02-01,Toronto C03,1525600.0,2.2,1646400.0,1.02,869800.0,2.59
2019-03-01,Toronto C03,1558000.0,2.51,1711000.0,3.19,856900.0,-0.46
2019-04-01,Toronto C03,1574700.0,2.59,1697400.0,0.4,895700.0,6.67
2019-05-01,Toronto C03,1572600.0,2.1,1695000.0,0.66,897500.0,3.97
2019-06-01,Toronto C03,1598200.0,4.44,1721400.0,3.51,913200.0,4.21
2019-07-01,Toronto C03,1606600.0,5.56,1752700.0,6.46,898500.0,3.12
2019-08-01,Toronto C03,1587800.0,4.83,1739800.0,5.71,883100.0,1.9
2019-09-01,Toronto C03,1574700.0,3.68,1728800.0,4.69,870000.0,-0.48
2019-10-01,Toronto C03,1588800.0,1.6,1731800.0,1.15,889100.0,1.37
2019-11-01,Toronto C03,1595100.0,1.9,1741700.0,2.46,897000.0,0.79
2019-12-01,Toronto C03,1600300.0,4.57,1755800.0,5.04,891700.0,4.12
2020-01-01,Toronto C03,1623800.0,8.21,1793300.0,9.91,888100.0,5.4
2020-02-01,Toronto C03,1647900.0,8.01,1816000.0,10.3,909300.0,4.54
2020-03-01,Toronto C03,1655700.0,6.27,1819700.0,6.36,911900.0,6.41
2020-04-01,Toronto C03,1688600.0,7.23,1849800.0,8.98,940100.0,4.93
2020-05-01,Toronto C03,1679600.0,6.81,1835700.0,8.3,943800.0,5.16
2020-06-01,Toronto C03,1688000.0,5.62,1827100.0,6.14,973400.0,6.59
2020-07-01,Toronto C03,1749100.0,8.88,1923500.0,9.75,967300.0,7.66
2020-08-01,Toronto C03,1736600.0,9.34,1926600.0,10.74,937800.0,6.19
2020-09-01,Toronto C03,1712500.0,8.76,1888500.0,9.24,940400.0,8.09
2020-10-01,Toronto C03,1723500.0,8.48,1897700.0,9.58,967100.0,8.77
2020-11-01,Toronto C03,1755900.0,10.09,1939500.0,11.36,973900.0,8.57
2020-12-01,Toronto C03,1748600.0,9.13,1937100.0,10.33,961300.0,7.24
2021-01-01,Toronto C03,1791400.0,10.32,1997900.0,11.49,960300.0,8.07
2021-02-01,Toronto C03,1861900.0,12.96,2062400.0,13.57,1005500.0,10.33
2021-03-01,Toronto C03,1913100.0,15.52,2157700.0,18.57,985100.0,7.88
2015-07-01,Toronto C04,1142500.0,7.84,1342900.0,9.46,350400.0,-2.71
2015-08-01,Toronto C04,1136300.0,9.56,1330300.0,11.16,355700.0,0.13
2015-09-01,Toronto C04,1141200.0,10.23,1335900.0,11.36,357800.0,3.29
2015-10-01,Toronto C04,1164200.0,12.99,1347100.0,12.17,384400.0,14.84
2015-11-01,Toronto C04,1188300.0,14.3,1371500.0,12.76,395800.0,19.35
2015-12-01,Toronto C04,1179000.0,13.34,1371500.0,12.89,376100.0,12.76
2016-01-01,Toronto C04,1202000.0,15.41,1405700.0,15.51,374100.0,12.75
2016-02-01,Toronto C04,1202600.0,13.44,1403600.0,13.32,374900.0,11.37
2016-03-01,Toronto C04,1192700.0,9.0,1400800.0,9.33,358700.0,4.28
2016-04-01,Toronto C04,1233000.0,10.49,1451800.0,11.31,364200.0,2.89
2016-05-01,Toronto C04,1280100.0,13.21,1500100.0,13.42,385800.0,8.06
